sentence_id,words,labels
0,united,0.0
0,nation,0.0
0,convention,0.4398026678234647
0,against,0.0
0,corruption,0.5587929036987209
1,this,0.0
1,decision,0.3139108309194478
1,authorise,0.3612903986861538
1,the,0.0
1,president,0.2177050767998182
1,of,0.0
1,the,0.0
1,council,0.3075889247895641
1,to,0.0
1,designate,0.3240505749789996
1,the,0.0
1,person,0.3345239966539031
1,empower,0.3219029941644557
1,to,0.0
1,sign,0.2180012953443972
1,the,0.0
1,united,0.0
1,nation,0.0
1,convention,0.4398026678234647
1,against,0.0
1,corruption,0.5587929036987209
1,on,0.0
1,behalf,0.269775776524128
1,of,0.0
1,the,0.0
1,european,0.3559879458447258
1,community,0.2970300228728608
1,.,0.0
2,the,0.0
2,convention,0.4398026678234647
2,aim,0.2732479533375487
2,to,0.0
2,boost,0.1936827805785477
2,the,0.0
2,effectiveness,0.3345072647001977
2,of,0.0
2,the,0.0
2,fight,0.3029379410143093
2,against,0.0
2,corruption,0.5587929036987209
2,",",0.0
2,promote,0.2604965259145518
2,the,0.0
2,proper,0.2148882926763663
2,management,0.2809302239540309
2,of,0.0
2,public,0.3458407194697094
2,affair,0.2392875010523473
2,and,0.0
2,encourage,0.2082151484099938
2,international,0.2943756523943459
2,cooperation,0.471068222913543
2,and,0.0
2,technical,0.2670276625331322
2,assistance,0.3472992283268371
2,.,0.0
3,act,0.2913224225829323
4,council,0.3075889247895641
4,decision,0.3139108309194478
4,on,0.0
4,the,0.0
4,signing,0.222414881094723
4,",",0.0
4,on,0.0
4,behalf,0.269775776524128
4,of,0.0
4,the,0.0
4,european,0.3559879458447258
4,community,0.2970300228728608
4,",",0.0
4,of,0.0
4,the,0.0
4,united,0.0
4,nation,0.0
4,convention,0.4398026678234647
4,against,0.0
4,corruption,0.5587929036987209
4,.,0.0
5,summary,0.2251615647058742
6,at,0.0
6,the,0.0
6,conference,0.1721946738815504
6,hold,0.1812167693080161
6,in,0.0
6,merida,0.0
6,mexico,0.0
6,from,0.0
6,9,0.0
6,to,0.0
6,11,0.0
6,december,0.2761403965232415
6,2003,0.0
6,",",0.0
6,the,0.0
6,united,0.0
6,nation,0.0
6,convention,0.4398026678234647
6,against,0.0
6,corruption,0.5587929036987209
6,be,0.0
6,open,0.1678128213412957
6,for,0.0
6,signing,0.222414881094723
6,.,0.0
7,at,0.0
7,its,0.0
7,2658th,0.0
7,session,0.1422225129259529
7,on,0.0
7,10,0.0
7,may,0.2311584644228791
7,2005,0.0
7,",",0.0
7,the,0.0
7,council,0.3075889247895641
7,adopt,0.3547735946782235
7,the,0.0
7,commission,0.4131722803694489
7,proposal,0.2873493318805443
7,concern,0.315850170440739
7,the,0.0
7,signing,0.222414881094723
7,of,0.0
7,the,0.0
7,convention,0.4398026678234647
7,.,0.0
8,the,0.0
8,decision,0.3139108309194478
8,authorise,0.3612903986861538
8,the,0.0
8,president,0.2177050767998182
8,of,0.0
8,the,0.0
8,council,0.3075889247895641
8,to,0.0
8,designate,0.3240505749789996
8,the,0.0
8,person,0.3345239966539031
8,empower,0.3219029941644557
8,to,0.0
8,sign,0.2180012953443972
8,the,0.0
8,unite,0.0
8,nation,0.0
8,convention,0.4398026678234647
8,on,0.0
8,behalf,0.269775776524128
8,of,0.0
8,the,0.0
8,european,0.3559879458447258
8,community,0.2970300228728608
8,.,0.0
8,on,0.0
8,15,0.0
8,september,0.1987947610261281
8,2005,0.0
8,",",0.0
8,the,0.0
8,european,0.3559879458447258
8,commission,0.4131722803694489
8,and,0.0
8,the,0.0
8,council,0.3075889247895641
8,presidency,0.2955523515947243
8,sign,0.2180012953443972
8,the,0.0
8,convention,0.4398026678234647
8,on,0.0
8,behalf,0.269775776524128
8,of,0.0
8,the,0.0
8,european,0.3559879458447258
8,community,0.2970300228728608
8,.,0.0
9,the,0.0
9,convention,0.4398026678234647
9,",",0.0
9,now,0.0583227686576354
9,know,0.0271034091191349
9,as,0.0
9,the,0.0
9,merida,0.0
9,convention,0.4398026678234647
9,",",0.0
9,be,0.0
9,adopt,0.3547735946782235
9,by,0.0
9,the,0.0
9,un,0.2561527562278928
9,general,0.2724801577034689
9,assembly,0.2611771807738435
9,on,0.0
9,31,0.0
9,october,0.2279549281864514
9,2003,0.0
9,resolution,0.2783781926000919
9,58,0.0
9,/,0.0
9,4,0.0
9,and,0.0
9,be,0.0
9,open,0.1678128213412957
9,for,0.0
9,sign,0.2180012953443972
9,until,0.0
9,9,0.0
9,december,0.2761403965232415
9,2005,0.0
9,.,0.0
10,produce,0.1145892450560971
10,a,0.0
10,effective,0.3132105329360837
10,instrument,0.3500893905108604
10,against,0.0
10,corruption,0.5587929036987209
11,in,0.0
11,december,0.2761403965232415
11,2000,0.0
11,",",0.0
11,the,0.0
11,un,0.2561527562278928
11,general,0.2724801577034689
11,assembly,0.2611771807738435
11,decide,0.2007263902897962
11,to,0.0
11,establish,0.3113328061851033
11,a,0.0
11,special,0.2141173846035081
11,committee,0.2707914478230203
11,open,0.1678128213412957
11,to,0.0
11,all,0.0
11,state,0.2666300761128498
11,for,0.0
11,draw,0.2247279021261444
11,up,0.0
11,a,0.0
11,effective,0.3132105329360837
11,international,0.2943756523943459
11,legal,0.3633946568742575
11,instrument,0.3500893905108604
11,against,0.0
